organisatie_id,werksoort_id,vestiging_id,uitvoeringsvorm,betrouwbaarheid,bron_url
org018,wasserij-en-linnenservice,,,hoog,https://doon-roermond.nl/voor-bedrijven
org019,montage,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,verpakken,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,co-packing,,,laag,https://www.dzb.nl/werkgevers/diensten/montage/
org019,mailing-en-lettershop,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,magazijn-en-opslag,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,post-en-pakketbezorging,,,hoog,https://www.dzb.nl/werkgevers/
org019,productie-en-lijnwerk,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,houtbewerking,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,meubelmakerij,,eigen_bedrijf,midden,https://www.dzb.nl/werkgevers/diensten/hout/
org019,groenvoorziening-en-onderhoud,,,hoog,https://www.dzb.nl/werkgevers/diensten/groen/
org019,kwekerij-en-tuinbouw,,,laag,https://www.dzb.nl/werkgevers/diensten/hout/
org019,schoonmaak,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,postkamer-en-documentstromen,,,laag,https://www.dzb.nl/werkgevers/diensten/post/
org019,catering,,,hoog,https://www.dzb.nl/werkgevers/diensten/montage/
org019,bedrijfsrestaurant-en-horeca,,,hoog,https://www.dzb.nl/werkgevers/diensten/catering/
org019,drukwerk-en-print,,,midden,https://www.dzb.nl/werkgevers/diensten/print/
org019,kringloop-en-hergebruik,,,hoog,https://www.dzb.nl/
org020,assemblage,,,hoog,https://emco-groep.nl/werksoorten
org020,montage,,,hoog,https://emco-groep.nl/
org020,elektrotechnische-assemblage,,,hoog,https://emco-groep.nl/werksoorten
org020,verpakken,,,hoog,https://emco-groep.nl/logistieke-dienstverlening
org020,co-packing,,,laag,https://emco-groep.nl/verpakken
org020,fulfilment,,,laag,https://emco-groep.nl/logistieke-dienstverlening
org020,mailing-en-lettershop,,,midden,https://emco-groep.nl/verpakken
org020,magazijn-en-opslag,,,hoog,https://emco-groep.nl/logistieke-dienstverlening
org020,orderpicking,,,midden,https://emco-groep.nl/magazijn-logistiek
org020,post-en-pakketbezorging,,,hoog,https://emco-groep.nl/werksoorten
org020,metaalbewerking,,,midden,https://emco-groep.nl/metaal
org020,lassen,,,hoog,https://emco-groep.nl/montage-assemblage
org020,houtbewerking,,,hoog,https://emco-groep.nl/werksoorten
org020,groenvoorziening-en-onderhoud,,,hoog,https://emco-groep.nl/technische-dienst
